Training Set Size,MAE
2000,0.03783946183667128
4000,0.028256377713069995
6000,0.025671513926186537
8000,0.010272198754290083
10000,7.07212972186344e-08
12000,7.069082518329495e-08
14000,7.069086654687418e-08
